id,boe,puesto_antes,puesto_despues,plazas_antes,plazas_despues,tipo,duplicacion,clave_correspondencia
38569,BOE-A-2021-14357,0920,SERVICIO INTERIOR DE VIGILANCIA.,3,3,,,BOE-A-2021-14357:tabla=0:fila=582:codigo/plazas=0920/3
38573,BOE-A-2021-14357,0913,COORDINADOR/COORDINADORA DE SERVICIOS.,1,1,,,BOE-A-2021-14357:tabla=0:fila=589:codigo/plazas=0913/1
38574,BOE-A-2021-14357,0920,SERVICIO INTERIOR DE VIGILANCIA DOS.,1,1,,,BOE-A-2021-14357:tabla=0:fila=592:codigo/plazas=0920/1
38575,BOE-A-2021-14357,0921,APOYO SERVICIO DE GEST. DE PENAS Y MEDIDAS ALTERNATIVAS.,1,1,,,BOE-A-2021-14357:tabla=0:fila=593:codigo/plazas=0921/1
38576,BOE-A-2021-14357,0919/0920,OFICINA GENERICO.,5,5,,,BOE-A-2021-14357:tabla=2:fila=2:codigo/plazas=0919/0920/5
38577,BOE-A-2021-14357,0919,SERVICIO INTERIOR DE VIGILANCIA.,15,15,,,BOE-A-2021-14357:tabla=2:fila=3:codigo/plazas=0919/15
38578,BOE-A-2021-14357,0920,SERVICIO INTERIOR DE VIGILANCIA DOS.,11,11,,,BOE-A-2021-14357:tabla=2:fila=4:codigo/plazas=0920/11
38579,BOE-A-2021-14357,0919/0920,OFICINA GENERICO.,2,2,,,BOE-A-2021-14357:tabla=2:fila=5:codigo/plazas=0919/0920/2
38580,BOE-A-2021-14357,0919/0920,OFICINA GENERICO.,4,4,,,BOE-A-2021-14357:tabla=2:fila=18:codigo/plazas=0919/0920/4
38581,BOE-A-2021-14357,0919,SERVICIO INTERIOR DE VIGILANCIA.,6,6,,,BOE-A-2021-14357:tabla=2:fila=19:codigo/plazas=0919/6
38582,BOE-A-2021-14357,0919,SERVICIO INTERIOR DE VIGILANCIA DOS.,2,2,,,BOE-A-2021-14357:tabla=2:fila=20:codigo/plazas=0919/2
38583,BOE-A-2021-14357,0919/0920,GENERICO AREA MIXTA.,1,1,,,BOE-A-2021-14357:tabla=2:fila=21:codigo/plazas=0919/0920/1
38584,BOE-A-2021-14357,0919,SERVICIO INTERIOR DE VIGILANCIA.,1,1,,,BOE-A-2021-14357:tabla=2:fila=28:codigo/plazas=0919/1
42479,BOE-A-2022-10576,12,JEFE / JEFA DE SECCIÓN.,1,1,,,BOE-A-2022-10576:tabla=0:fila=23:codigo/plazas=12/1
42561,BOE-A-2022-10890,13,SUBCAJERO / SUBCAJERA.,1,1,,,BOE-A-2022-10890:tabla=0:fila=21:codigo/plazas=13/1
42695,BOE-A-2022-11535,0902,JURISTA.,3,3,,,BOE-A-2022-11535:tabla=1:fila=28:codigo/plazas=0902/3
42696,BOE-A-2022-11535,0902,PSICOLOGO/PSICOLOGA DE MEDIO ABIERTO.,2,2,,,BOE-A-2022-11535:tabla=1:fila=34:codigo/plazas=0902/2
42697,BOE-A-2022-11535,0902,PSICOLOGO/PSICOLOGA DE CIS.,1,1,,,BOE-A-2022-11535:tabla=1:fila=36:codigo/plazas=0902/1
42726,BOE-A-2022-11655,0011 0012 0013,JEFE/JEFA DE ÁREA DE CONTROL DE CALIDAD,1,1,,,BOE-A-2022-11655:tabla=0:fila=7:codigo/plazas=0011 0012 0013/1
