id,boe,puesto_antes,puesto_despues,puesto_normalizado_antes,puesto_normalizado_despues,plazas_antes,plazas_despues,campos_adicionales_modificados,clave_correspondencia,evidencia,candidatos_clave,confianza
38556,BOE-A-2021-14357,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,10,10,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=522:codigo/plazas=0919/10,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38557,BOE-A-2021-14357,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,3,3,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=530:codigo/plazas=0919/3,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38558,BOE-A-2021-14357,0920,SERVICIO INTERIOR DE VIGILANCIA DOS.,0920,SERVICIO INTERIOR DE VIGILANCIA DOS.,2,2,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=534:codigo/plazas=0920/2,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38559,BOE-A-2021-14357,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,20,20,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=554:codigo/plazas=0920/20,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38560,BOE-A-2021-14357,0919,SERVICIO INTERIOR DE VIGILANCIA.,0919,SERVICIO INTERIOR DE VIGILANCIA.,8,8,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=555:codigo/plazas=0919/8,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38561,BOE-A-2021-14357,0920,SERVICIO INTERIOR DE VIGILANCIA DOS.,0920,SERVICIO INTERIOR DE VIGILANCIA DOS.,4,4,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=556:codigo/plazas=0920/4,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38563,BOE-A-2021-14357,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,0919,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,20,20,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=565:codigo/plazas=0919/20,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38564,BOE-A-2021-14357,0919,SERVICIO INTERIOR DE VIGILANCIA.,0919,SERVICIO INTERIOR DE VIGILANCIA.,11,11,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=568:codigo/plazas=0919/11,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38565,BOE-A-2021-14357,0919,SERVICIO INTERIOR DE VIGILANCIA DOS.,0919,SERVICIO INTERIOR DE VIGILANCIA DOS.,7,7,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=569:codigo/plazas=0919/7,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38566,BOE-A-2021-14357,0919/0920,GENERICO AREA MIXTA.,0919/0920,GENERICO AREA MIXTA.,3,3,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=570:codigo/plazas=0919/0920/3,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38567,BOE-A-2021-14357,0913,ESPECIALISTA DE OFICINAS.,0913,ESPECIALISTA DE OFICINAS.,2,2,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=579:codigo/plazas=0913/2,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38568,BOE-A-2021-14357,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,0920,ENCARGADO/ENCARGADA DE DEPARTAMENTO DE VIGIL.INTERIOR.,6,6,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=581:codigo/plazas=0920/6,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38569,BOE-A-2021-14357,0920,SERVICIO INTERIOR DE VIGILANCIA.,0920,SERVICIO INTERIOR DE VIGILANCIA.,3,3,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=582:codigo/plazas=0920/3,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38573,BOE-A-2021-14357,0913,COORDINADOR/COORDINADORA DE SERVICIOS.,0913,COORDINADOR/COORDINADORA DE SERVICIOS.,1,1,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=589:codigo/plazas=0913/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,2,ALTA_ESTRUCTURAL_ORDEN
38574,BOE-A-2021-14357,0920,SERVICIO INTERIOR DE VIGILANCIA DOS.,0920,SERVICIO INTERIOR DE VIGILANCIA DOS.,1,1,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=592:codigo/plazas=0920/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
38575,BOE-A-2021-14357,0921,APOYO SERVICIO DE GEST. DE PENAS Y MEDIDAS ALTERNATIVAS.,0921,APOYO SERVICIO DE GEST. DE PENAS Y MEDIDAS ALTERNATIVAS.,1,1,"puesto,puesto_normalizado",BOE-A-2021-14357:tabla=0:fila=593:codigo/plazas=0921/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,1,ALTA
