id,puesto_persistido,puesto_normalizado,plazas_persistidas,fecha_boe,boe,fuente_oficial,clasificacion,puesto_correcto_si_determinable,plazas_correctas_si_determinables,registro_espurio,causa
38561,0920,0920,4,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,4,NO,CELDA_DESALINEADA
38563,0919,0919,20,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,20,NO,CELDA_DESALINEADA
38564,0919,0919,11,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,11,NO,CELDA_DESALINEADA
38565,0919,0919,7,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,7,NO,CELDA_DESALINEADA
38566,0919/0920,0919/0920,3,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,3,NO,CELDA_DESALINEADA
38567,0913,0913,2,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,2,NO,CELDA_DESALINEADA
38568,0920,0920,6,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,6,NO,CELDA_DESALINEADA
38569,0920,0920,3,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,3,NO,CELDA_DESALINEADA
38573,0913,0913,1,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,1,NO,CELDA_DESALINEADA
38574,0920,0920,1,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,1,NO,CELDA_DESALINEADA
38575,0921,0921,1,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,1,NO,CELDA_DESALINEADA
38576,0919/0920,0919/0920,5,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,5,NO,CELDA_DESALINEADA
38577,0919,0919,15,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,15,NO,CELDA_DESALINEADA
38578,0920,0920,11,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,11,NO,CELDA_DESALINEADA
38579,0919/0920,0919/0920,2,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,2,NO,CELDA_DESALINEADA
38580,0919/0920,0919/0920,4,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,4,NO,CELDA_DESALINEADA
38581,0919,0919,6,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,6,NO,CELDA_DESALINEADA
38582,0919,0919,2,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,2,NO,CELDA_DESALINEADA
38583,0919/0920,0919/0920,1,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,1,NO,CELDA_DESALINEADA
38584,0919,0919,1,2021-09-01,BOE-A-2021-14357,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-14357,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,1,NO,CELDA_DESALINEADA
42479,12,12,1,2022-06-27,BOE-A-2022-10576,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2022-10576,NUMERO_DE_ORDEN,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
42561,13,13,1,2022-07-01,BOE-A-2022-10890,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2022-10890,NUMERO_DE_ORDEN,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
42695,0902,0902,3,2022-07-12,BOE-A-2022-11535,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2022-11535,OTRO_EXPLICITO,reextracción de denominación; el número es código de cuerpo/escala,3,NO,CELDA_DESALINEADA
